shelter_id,shelter_name,sido,sigungu,address,lon,lat,shelter_type,area,category
1,동작고등학교 운동장,서울특별시,동작구,서울특별시 동작구 솔밭로 51(사당동),126.9655,37.482,실내대피소,3246.0,지진실내구호소
2,동작초등학교 운동장,서울특별시,동작구,서울특별시 동작구 동작대로29길 214(사당동),126.9768,37.494,실내대피소,2763.0,지진실내구호소
3,창림초등학교 운동장,서울특별시,도봉구,서울특별시 도봉구 덕릉로63길 46(창동),127.0417,37.6431,실내대피소,2584.0,지진실내구호소
4,창원초등학교 운동장,서울특별시,도봉구,서울특별시 도봉구 해등로 103(창동),127.0407,37.6521,실내대피소,2704.0,지진실내구호소
5,창일중학교 운동장,서울특별시,도봉구,서울특별시 도봉구 노해로66길 60(창동),127.0471,37.6484,실내대피소,4800.0,지진실내구호소
6,갈대밭어린이공원,서울특별시,도봉구,서울특별시 도봉구 도봉동 625-123,127.0457,37.6743,실내대피소,433.0,지진실내구호소
7,누원어린이공원,서울특별시,도봉구,서울특별시 도봉구 도봉동 653,127.05,37.6803,실내대피소,400.0,지진실내구호소
8,무수어린이공원,서울특별시,도봉구,서울특별시 도봉구 도봉동 585-2,127.0426,37.6805,실내대피소,350.0,지진실내구호소
9,무지개어린이공원,서울특별시,도봉구,서울특별시 도봉구 도봉동 570-13,127.045,37.6856,실내대피소,385.0,지진실내구호소
10,새동네어린이공원,서울특별시,도봉구,서울특별시 도봉구 도봉동 289-5,127.0431,37.6889,실내대피소,670.0,지진실내구호소
11,서원어린이공원,서울특별시,도봉구,서울특별시 도봉구 도봉동 576-13,127.0432,37.6838,실내대피소,355.0,지진실내구호소
12,해태어린이공원,서울특별시,도봉구,서울특별시 도봉구 도봉동 614-37,127.0411,37.672,실내대피소,458.0,지진실내구호소
13,누원고등학교 운동장,서울특별시,도봉구,서울특별시 도봉구 마들로 849(도봉동),127.0506,37.6849,실내대피소,400.0,지진실내구호소
14,도봉중학교 운동장,서울특별시,도봉구,서울특별시 도봉구 마들로 671(도봉동),127.0455,37.6701,실내대피소,3184.0,지진실내구호소
15,북서울중학교 운동장,서울특별시,도봉구,서울특별시 도봉구 도봉로169가길 33(도봉동),127.043,37.6811,실내대피소,2029.0,지진실내구호소
16,오봉초등학교 운동장,서울특별시,도봉구,서울특별시 도봉구 시루봉로 285(도봉동),127.0404,37.6714,실내대피소,1704.0,지진실내구호소
17,한내근린공원,서울특별시,노원구,서울특별시 노원구 월계동 1-1,127.0694,37.6221,실내대피소,1740.0,지진실내구호소
