from_id,from_type,to_id,to_type,relationship_type,probability,description,risk_increase,relevance,pga,magnitude,rainfall
hazard_earthquake,Hazard,hazard_landslide,Hazard,TRIGGERS,0.3,지진이 산사태를 유발,,,,,
hazard_earthquake,Hazard,hazard_collapse,Hazard,CAUSES,0.4,지진이 붕괴를 유발,,,,,
hazard_landslide,Hazard,hazard_collapse,Hazard,CAUSES,0.5,산사태가 붕괴를 유발,,,,,
hazard_aging,Hazard,hazard_collapse,Hazard,INCREASES_RISK_OF,,노화가 붕괴 위험을 증가,0.6,,,,
social_disaster___,Policy,hazard_earthquake,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_aging,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_landslide,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_collapse,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_earthquake,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_aging,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_landslide,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_collapse,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_earthquake,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_aging,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_landslide,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_collapse,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_earthquake,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_aging,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_landslide,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_collapse,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_earthquake,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_aging,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_landslide,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_collapse,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_earthquake,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_aging,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_landslide,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_collapse,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_earthquake,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_aging,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_landslide,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_collapse,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_earthquake,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_aging,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_landslide,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_collapse,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_earthquake,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_aging,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_landslide,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_collapse,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_earthquake,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_aging,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_landslide,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_collapse,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_earthquake,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_aging,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_landslide,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_collapse,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_earthquake,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_aging,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_landslide,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_collapse,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_earthquake,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_aging,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_landslide,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_collapse,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_earthquake,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_aging,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_landslide,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_collapse,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_earthquake,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_aging,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_landslide,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_collapse,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_earthquake,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_aging,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_landslide,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_collapse,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_earthquake,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_aging,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_landslide,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
social_disaster___,Policy,hazard_collapse,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_earthquake,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_aging,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_landslide,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_collapse,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_earthquake,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_aging,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_landslide,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_collapse,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_earthquake,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_aging,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_landslide,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_collapse,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_earthquake,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_aging,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_landslide,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_collapse,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_earthquake,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_aging,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_landslide,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_collapse,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_earthquake,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_aging,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_landslide,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_collapse,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_earthquake,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_aging,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_landslide,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_collapse,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_earthquake,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_aging,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_landslide,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_collapse,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_earthquake,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_aging,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_landslide,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_collapse,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_earthquake,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_aging,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_landslide,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_collapse,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_earthquake,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_aging,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_landslide,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_collapse,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_earthquake,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_aging,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_landslide,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_collapse,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_earthquake,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_aging,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_landslide,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_collapse,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_earthquake,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_aging,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_landslide,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_collapse,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_earthquake,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_aging,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_landslide,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_collapse,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_earthquake,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
life_safety___,Policy,hazard_aging,Hazard,GUIDES,, >  >  행동요령,,0.5,,,
