DST_RSK_DSTRCT_MNG_NO,DST_RSK_DSTRCT_NM,DST_RSK_DSTRCT_GRD_CD,DST_RSK_DSTRCT_TYPE_CD,DST_RSK_DSTRCTCD,DST_RSK_DSTRCT_RGN_CD,DST_RSK_DSTRCT_HONU,MAO_CD,MAOF_NM,FCLT_NM,FCLTY_GRD_CD,FCLTY_GRD_NM,DST_WASY_CD,WASY_NM,DSGN_YMD,DSGN_RSN,RMV_YMD,RMV_RSN,DAM_INTV,DAM_DAY_RNFL,DAM_HR_RNFL,RSK_FACTR_CN,PRPL_MTTR_CD,WRTR_OGDP_JBGD_CN,IDFR_OGDP_JBGD_CN,FCLT_MNG_INST_NM,MNG_RBPRSN_OGDP_JBGD_CN,MNG_CTZN_JBGD_NM,COPL_RMRK,LAST_MDFCN_DT,APLY_YN,DSGN_AREA,APLY_YR,APLY_YMD,HAB_NOHO,HAB_NOPE_CNT,BSC_PLAN_NM,FNDG_YMD,ACT_LMT_MUOR_SPTR,ENCT_YMD,DCSD_CNT,INJPSN_CNT,DAM_HSTRY_IDX,CST_BNTS_VL,PLCY_VL,CNTNC_VL,PREP_VL,BSC_PLAN_YN,MTN_ADDR_YN,MNLNO,SUBLOTNO,DADDR,ROAD_NM_CD,RONA_DADDR,STDG_CD,USE_YN
488502011013,청룡지구,2,001,,4885041000,,,,청룡지구,012,지방1급하천,-1,,20100520,상습침수지역,,,0,0,0,상습침수지역,1,안전총괄과 시설8급,안전총괄과 시설6급,하동군,옥종면 시설7급,,,2025/11/01 00:00:00.000000000,0,450000,2015,20160705,450,1800,,,00,,0,0,,0,,,,N,0,1,,,, [지점번호:라라35898709],4885041021,Y
472102006001,사일지구,2,001,,4721000000,,,,사일지구,013,지방2급하천,2,낙동강,20060228,재해위헙지구 지정관리,20120208,,0,0,0,"제방붕괴 우려
- 서천지구 하천재해예방사업(준공일 : '09. 4. 19.)",4,재난안전관리과 시설7급,재난안전관리과 시설5급,영주시 건설과,휴천3동 행정8급,조암동 1153,,2023/06/02 10:54:44.000000000,0,60000,,20151102,0,0,,,00,,0,0,0,0,,,,N,0,1041,1,,4721011100110410004000001     ,,4721011100,Y
472102006002,아랫들지구,3,001,,4721000000,일원,,,아랫들지구,013,지방2급하천,2,낙동강,20060228,재해위험지구 지정관리,,,0,0,0,"제방붕괴 우려
- 죽계지구 하천재해예방사업(준공예정일 : '23. 12. 17.)",4,안전재난과 시설7급,안전재난과 행정5급,영주시,안전재난과 시설7급,안정면 동촌리,,2025/11/01 00:00:00.000000000,0,140000,2006,20060302,10,19,,,02,20090108,0,0,0,0,,,,N,0,856,1,,,,4721037022,Y
472102006003,중촌들지구,3,002,,4721000000,일원,,,중촌들지구,013,지방2급하천,2,낙동강,20060228,재해위험지구 지정관리,,,0,0,0,"세굴로 인한 제방붕괴 우려
- 죽계2지구 하천재해예방사업(준공예정일 : '23. 12. 17.)",2,안전재난과 시설7급,안전재난과 행정5급,영주시 안전재난과,안전재난과 시설7급,순흥면 읍내리,,2025/11/01 00:00:00.000000000,0,100000,2006,20060302,56,162,,,02,20090108,0,0,0,0,,,,N,0,245,1,,,,4721037024,Y
472102006004,옥대지구,1,001,,4721000000,,,,옥대지구,013,지방2급하천,2,낙동강,20140206,재해위험지구 지정관리(변경고시),20170322,"재해위험지구 정비사업 완료
- 옥대지구 하천재해예방사업(준공일 : '16. 12. 26.)",0,0,0,침수위험,4,안전재난과 시설7급,안전재난과 행정5급,영주시,안전재난과 시설7급,단산면 옥대리,,2023/06/02 10:46:37.000000000,0,150000,2014,20140206,108,259,,,02,20090108,0,0,0,0,,,,N,0,173,1,,,경상북도 영주시 단산면 옥대로  23-6   ,4721038025,Y
472102006005,피골지구,1,001,,4721000000,일원,,,피골지구,013,지방2급하천,2,낙동강,20060228,재해위험지구 지정관리,,,5,250,30,"침수위험
- 죽계지구 하천재해예방사업(준공일 : '19. 12. 16.)",4,안전재난과 시설7급,안전재난과 행정5급,영주시,안전재난과 시설7급,,,2025/11/01 00:00:00.000000000,0,60000,2006,20060302,6,8,,,02,20150108,0,0,0,0,,,,N,0,94,3,,4721011300100940008000001     ,,4721011300,Y
472102006006,두전지구,2,001,,4721000000,,,,두전지구,013,지방2급하천,2,낙동강,20060228,재해위험지구 지정관리,20120208,"옥계지구 하천재해예방사업
- 준공일 : '10. 8. 24.",5,250,30,침수위험,4,재난관리과 시설7급,재난관리과 시설5급,영주시청,재난관리과 시설9급,장수면 두전3리,,2023/06/02 10:23:52.000000000,0,60000,,20151102,0,0,,,00,,0,0,0,0,,,,N,0,1281,0,,4721034022112810000023076     ,,4721034022,Y
472102010007,휴천지구,1,001,,4721000000,,,,휴천지구,002,지방도,-1,,20100129,재해위험지구 지정관리,20150901,"영주시 시가지 상습침수지역(휴천지구) 재해위험지구 정비사업
- 준공일 : '14. 6. 2.",5,250,30,침수위험,4,,,재난관리과,재난관리과 시설7급,,,2023/06/02 10:51:49.000000000,0,60000,,20151031,0,0,,,00,,0,0,0,0,,,,N,0,693,9,,4721010400106930009011092     ,,4721010400,Y
472102010008,죽계지구,3,001,,4721000000,,,,죽계지구,013,지방2급하천,19,기타,20060302,재해위험지구 지정관리,,,5,250,3,"침수위험
- 죽계지구 하천재해예방사업(준공예정일 : '23. 12. 17.)",3,안전재난과 시설7급,안전재난과 시설5급,영주시,안전재난과 시설7급,,,2025/11/01 00:00:00.000000000,0,720000,2006,20060302,123,423,,,02,20090108,0,0,0,0,,,,N,0,989,2,,,,4721037022,Y
472102011009,적동지구,3,001,,4721000000,,,,적동지구,013,지방2급하천,-1,,20100730,침수위험,20120208,"정비완료
- 서천지구 하천재해예방사업(준공일 : '10. 8. 18.)",0,0,0,침수,4,,재난관리과 시설5급,,재난관리과 시설7급,적동2리장,,2023/06/02 10:11:50.000000000,0,60000,,20151102,0,0,,,00,,0,0,0,0,,,,N,0,723,1,,,,4721033023,Y
