관리번호,붕괴위험지구번호,붕괴위험지구명,재해위험평가점수합계,재해위험평가등급코드,붕괴위험지구지정여부,붕괴위험지구지정일자,붕괴위험지구지정사유내용,위험해소조치코드,삭제여부,최초등록일시,최종수정일시
4215000012,180,성덕3지구(C),0.0,SDG005,Y,20251101.0,붕괴위험,SRD001,N,2010/03/02 0:00,2025/11/01 0:00
4215000016,181,주문2지구(C),0.0,SDG003,Y,20091126.0, ,,Y,2010/03/09 0:00,2016/08/17 16:44
4215000017,182,강동심곡지구(C),0.0,SDG003,Y,20091126.0, ,SRD001,Y,2010/03/09 0:00,2016/08/17 16:44
4215000018,183,옥계금진지구(C),0.0,SDG003,Y,20091126.0, ,SRD001,Y,2010/03/09 0:00,2016/08/17 16:44
4215000019,184,노암지구(C),0.0,SDG003,Y,20091126.0, ,,Y,2010/04/20 0:00,2016/08/17 16:44
4215000020,185,교1동 1지구(C),0.0,SDG003,Y,20091127.0, ,SRD001,Y,2010/04/20 0:00,2016/11/28 11:28
4215000022,186,교1동3지구(C),0.0,SDG003,Y,20091127.0, ,,Y,2010/04/30 0:00,2016/08/17 16:44
4215000023,187,교1동 4지구(C),0.0,SDG003,Y,20091127.0, ,SRD001,Y,2010/04/30 0:00,2016/11/28 11:29
4215000024,188,교2동지구(C),0.0,SDG003,Y,20091127.0, ,SRD001,Y,2010/04/30 0:00,2016/11/28 11:31
4215000026,189,정동진지구(C),0.0,SDG003,Y,20091130.0, ,SRD001,Y,2010/04/30 0:00,2016/08/17 16:43
4215000028,190,대기지구,64.0,SDG003,Y,20251101.0,잦은 낙석 발생으로 도로주변 재해위험 피해 우려,SRD001,N,2010/05/02 0:00,2025/11/01 0:00
4215000031,191,왕산지구(C),61.0,SDG004,Y,20251101.0, ,SRD001,N,2010/05/02 0:00,2025/11/01 0:00
4215000033,192,성산지구(C),61.0,SDG004,Y,20251101.0, ,SRD001,N,2010/05/02 0:00,2025/11/01 0:00
4215000035,193,제비리지구(C),0.0,SDG002,Y,20091130.0, ,,Y,2010/05/04 0:00,2016/08/17 16:43
4217000008,194,달방지구(C),64.0,SDG004,N,20211224.0,정비사업 완료,SRD999,N,2010/04/12 0:00,2022/12/22 14:27
4217000009,195,초구 지구(C),68.0,SDG004,N,20170906.0,정비 완료,SRD001,N,2010/04/12 0:00,2017/12/21 11:41
4217000016,196,신흥 4지구(C),0.0,SDG002,Y,20101203.0, ,SRD999,Y,2010/04/13 0:00,2016/08/24 20:34
4215000042,197,제비리1지구(C),0.0,SDG001,Y,20101203.0, ,,Y,2010/12/20 0:00,2016/08/17 16:42
4215000056,198,승마장(C),0.0,SDG004,Y,20251101.0, ,SRD001,N,2014/09/19 0:00,2025/11/01 0:00
4215000057,199,통일공원(C),0.0,SDG004,Y,20251101.0, ,SRD001,N,2014/09/19 0:00,2025/11/01 0:00
4217000001,200,묵호 1지구(C),0.0,SDG002,Y,20100601.0,붕기위험,SRD999,Y,2010/04/12 0:00,2016/08/31 11:15
4217000004,201,발한 1지구(C),74.0,SDG004,N,20211224.0,정비사업 완료,SRD999,N,2010/04/12 0:00,2022/12/22 14:12
4217000005,202,발한 2지구(C),73.0,SDG004,Y,20251101.0,,SRD999,N,2010/04/12 0:00,2025/11/01 0:00
4217000006,203,발한 3지구(C),0.0,SDG002,Y,20100517.0, ,SRD999,Y,2010/04/12 0:00,2016/08/31 11:16
4217000043,204,청솔공원지구(C),73.0,SDG004,N,20170906.0,정비 완료,SRD001,N,2013/04/02 0:00,2017/12/21 11:44
4217000044,205,도째비골(C),0.0,SDG004,N,20210208.0,정비사업 완료,SRD001,N,2015/11/14 0:00,2022/12/22 14:21
4219000001,206,원동1지구(지방도424)(C),,SDG003,Y,20100205.0,급경사지 붕괴위험,SRD001,Y,2010/03/21 0:00,2016/08/04 15:18
4219000002,207,원동2지구(지방도424)(C),,SDG003,Y,20100205.0,급경사지 붕괴위험,SRD001,Y,2010/03/21 0:00,2016/08/23 13:34
4219000003,208,원동3지구(지방도424)(C),,SDG003,Y,20100205.0,급경사지 붕괴위험,SRD001,Y,2010/03/21 0:00,2016/09/26 17:05
4219000004,209,원동4지구(지방도424)(C),,SDG003,Y,20100205.0,급경사지 붕괴위험,SRD001,Y,2010/03/21 0:00,2016/09/26 17:06
4219000005,210,원동5지구(지방도424)(C),,SDG003,Y,20100205.0,급경사지 붕괴위험,SRD001,Y,2010/03/21 0:00,2016/09/26 17:06
4219000006,211,원동6지구(지방도424)(C),,SDG003,Y,20100205.0,급경사지 붕괴위험,SRD001,Y,2010/03/21 0:00,2016/09/26 17:06
4219000007,212,원동7지구(지방도424)(C),,SDG003,Y,20100205.0,급경사지 붕괴위험,SRD001,Y,2010/03/21 0:00,2016/09/26 17:06
4223000305,264,사곡리(C),58.0,SDG003,Y,20251101.0,붕괴로 인한 인명 및 재산보호,SRD001,N,2014/09/22 0:00,2025/11/01 0:00
4223000308,265,장호리,68.0,SDG004,Y,20251101.0,붕괴로 인한 인명 및 재산보호,SRD001,N,2014/09/22 0:00,2025/11/01 0:00
4223000309,266,장호(2)(C),67.0,SDG004,Y,20251101.0,붕괴로 인한 인명 및 재산보호,SRD001,N,2014/09/22 0:00,2025/11/01 0:00
4223000316,267,근덕(6)(C),58.0,SDG003,Y,20251101.0,붕괴로 인한 인명 및 재산보호,SRD001,N,2014/09/22 0:00,2025/11/01 0:00
4223000319,268,광동리(C),59.0,SDG003,Y,20251101.0,붕괴로 인한 인명 및 재산보호,SRD001,N,2014/09/22 0:00,2025/11/01 0:00
4223000330,269,풍곡리(C),52.0,SDG003,Y,20251101.0, ,SRD001,N,2014/09/23 0:00,2025/11/01 0:00
4223000348,270,고무릉리(C),55.0,SDG003,Y,20251101.0,붕괴로 인한 인명 및 재산보호,,N,2014/09/24 0:00,2025/11/01 0:00
4223000358,271,오분(C),49.0,SDG003,Y,20251101.0, ,SRD001,N,2014/09/24 0:00,2025/11/01 0:00
4223000361,272,오분(4)(C),53.0,SDG003,Y,20251101.0,붕괴로 인한 인명 및 재산보호,SRD001,N,2014/09/24 0:00,2025/11/01 0:00
4223000370,273,등봉,33.0,SDG002,N,,붕괴로 인한 인명 및 재산보호,SRD002,N,2014/09/25 0:00,2022/12/07 16:14
4223000377,274,도경(5)(C),55.0,SDG003,N,20220217.0,재해위험도 재평가 시행,SRD001,Y,2014/09/25 0:00,2023/09/04 11:26
4223000388,275,정하(2)(C),62.0,SDG004,Y,20251101.0,붕괴로 인한 인명 및 재산보호,SRD001,N,2014/09/25 0:00,2025/11/01 0:00
4223000389,276,정하(3)(C),56.0,SDG003,Y,20251101.0, ,SRD001,N,2014/09/25 0:00,2025/11/01 0:00
4223000390,277,정하(4)(C),61.0,SDG004,Y,20251101.0,붕괴로 인한 인명 및 재산보호,SRD001,N,2014/09/25 0:00,2025/11/01 0:00
4223000391,278,정하나릿골(C),61.0,SDG004,Y,20251101.0,(정라5→정하나릿골 명칭변경),SRD001,N,2014/09/25 0:00,2025/11/01 0:00
