시설번호,시설일련번호,수용시설명,시군구명,법정동코드,상세주소,시설면적,경도,위도,X좌표,Y좌표
177,370,증산동주민센터,은평구,1138011000,서울특별시 은평구 증산동 187-19,83,126.907027,37.584342,191788.081359,553869.071711
178,395,증산초등학교 체육관,은평구,1138011000,서울특별시 은평구 증산동 212-0,594,126.904182,37.582672,191536.593683,553684.079736
179,21,수색초등학교,은평구,1138010100,서울특별시 은평구 수색동 129,926,126.895562,37.585035,190775.491723,553947.160812
180,371,수색동 주민센터,은평구,1138010100,서울특별시 은평구 수색동 363-11,168,126.89377,37.583336,190617.023668,553758.710798
181,372,진관동 주민센터,은평구,1138011400,서울특별시 은평구 진관동 78,174,126.920894,37.635031,193017.636366,559493.961202
182,362,구산동주민센터,은평구,1138010500,서울특별시 은평구 구산동 27-5,160,126.91036,37.611767,192085.335674,556912.690028
183,368,역촌동 주민센터,은평구,1138010800,서울특별시 은평구 역촌동 62-26,425,126.915104,37.604424,192503.471959,556097.326523
184,318,덕산중학교 체육관,은평구,1138010900,서울특별시 은평구 신사동 265-4,600,126.904315,37.602008,191550.489703,555830.148674
185,369,신사1동주민센터,은평구,1138010900,서울특별시 은평구 신사동 29-2,207,126.91183,37.597834,192213.669724,555366.186712
186,353,신사2동주민센터,은평구,1138010900,서울특별시 은평구 신사동 163-17,146,126.908387,37.59026,191908.82146,554525.868194
187,403,서울서신초등학교,은평구,1138010900,서울특별시 은평구 신사동 194-0,551,126.907569,37.592412,191836.818669,554764.759108
188,320,증산중학교 다목적강당,은평구,1138011000,서울특별시 은평구 증산동 산24-4,2001,126.904132,37.583636,191532.282034,553791.051771
189,198,염리생활체육관,마포구,1144010900,서울특별시 마포구 염리동 174-3,138,126.947591,37.541815,195368.296221,549146.357974
190,199,염리생활체육관,마포구,1144010900,서울특별시 마포구 염리동 174-3,930,126.945391,37.541815,195173.868755,549146.468616
191,43,용강초등학교,마포구,1144010800,서울특별시 마포구 대흥동 35-1,968,126.944122,37.549086,195062.213174,549953.484283
192,210,마포아트센터,마포구,1144010800,서울특별시 마포구 대흥동 30-3,70,126.945977,37.550109,195226.184339,550067.000221
193,207,마포아트센터,마포구,1144010800,서울특별시 마포구 대흥동 30-3,198,126.94555,37.549903,195188.396272,550044.184015
194,394,서문교회,은평구,1138010700,서울특별시 은평구 응암동 577-57,198,126.916739,37.591613,192646.593272,554675.267201
197,209,마포아트센터,마포구,1144010800,서울특별시 마포구 대흥동 30-3,264,126.945963,37.550067,195224.933887,550062.26952
198,208,마포아트센터,마포구,1144010800,서울특별시 마포구 대흥동 30-3,1038,126.945184,37.549961,195156.134723,550050.613431
199,396,은평다목적체육관,은평구,1138011400,서울특별시 은평구 진관동 362-0,2125,126.924875,37.631253,193368.687496,559074.290549
200,400,보훈회관,은평구,1138011400,서울특별시 은평구 진관동 78-0,52,126.920754,37.634968,193005.259943,559486.932679
201,212,용강동주민센터,마포구,1144010500,서울특별시 마포구 용강동 505-0,245,126.942782,37.54226,194943.325506,549195.995315
202,79,염리초등학교,마포구,1144010900,서울특별시 마포구 염리동 173-4,130,126.945885,37.542428,195217.570109,549214.436746
208,206,마포아트센터,마포구,1144010800,서울특별시 마포구 대흥동 30-3,200,126.945544,37.549868,195187.930078,550040.265297
11,447,원묵초등학교,중랑구,1126010400,서울특별시 중랑구 묵동 11,988,127.086109,37.617656,207602.287149,557566.032643
12,462,원묵고등학교,중랑구,1126010400,서울특별시 중랑구 묵동 23,714,127.086037,37.615419,207596.163377,557317.748272
17,350,양천구민체육센터,양천구,1147010100,서울특별시 양천구 신정동 322-10,1995,126.864385,37.516544,188010.845343,546348.990633
18,324,신정초등학교,강서구,1150010300,서울특별시 강서구 화곡동 869-42,746,126.852548,37.532725,186967.149042,548146.39199
24,461,장안중학교,중랑구,1126010300,서울특별시 중랑구 중화동 288-26,1141,127.080726,37.60053,207128.615921,555664.811674
25,13,수산교회,중랑구,1126010300,서울특별시 중랑구 중화동 316-30,270,127.075814,37.597577,206695.109672,555336.689828
26,368,구현고등학교,구로구,1153010200,서울특별시 구로구 구로동 620-30,799,126.874535,37.502237,188906.015265,544759.787326
27,369,화원종합사회복지관,구로구,1153010200,서울특별시 구로구 구로동 476-134,220,126.880139,37.497347,189400.837019,544216.462321
28,428,송화초등학교,강서구,1150010900,서울특별시 강서구 방화동 217-35,748,126.817541,37.5685,183880.724876,552122.432831
29,427,송정중학교,강서구,1150010800,서울특별시 강서구 공항동 770-1,869,126.815248,37.553596,183674.898825,550468.658457
34,357,서울과학고등학교,종로구,1111017000,서울특별시 종로구 명륜1가 1-0,1166,126.998367,37.591834,199855.778278,554696.592018
35,368,이화동주민센터,종로구,1111016500,서울특별시 종로구 이화동 27-4,279,127.004333,37.576936,200382.753993,553043.068828
36,367,혜화동자치회관,종로구,1111016900,서울특별시 종로구 혜화동 74-30,259,127.00056,37.586987,200049.438667,554158.635237
37,320,독립문초등학교,종로구,1111018700,서울특별시 종로구 무악동 46-82,608,126.959981,37.574285,196464.824794,552749.569112
42,23,창신초등학교,종로구,1111017400,서울특별시 종로구 창신동 128-32,660,127.014352,37.576019,201267.806661,552941.399267
44,334,무악동주민센터,종로구,1111018700,서울특별시 종로구 무악동 60-2,364,126.958198,37.576,196307.424433,552940.007308
45,347,교남동주민센터,종로구,1111018100,서울특별시 종로구 행촌동 180-10,313,126.961947,37.571912,196638.338997,552486.2047
46,17,재동초등학교,종로구,1111014600,서울특별시 종로구 가회동 210,202,126.985568,37.57983,198725.201173,553364.383094
166,392,은평중학교,은평구,1138010500,서울특별시 은평구 구산동 182-44,540,126.9086,37.610674,191929.868732,556791.58415
167,393,대은초등학교,은평구,1138010600,서울특별시 은평구 대조동 82-5,1000,126.925892,37.612095,193456.792094,556947.970578
168,375,은명초등학교,은평구,1138010700,서울특별시 은평구 응암동 114-12,727,126.918631,37.597628,192814.302559,555342.794124
169,364,응암2동주민센터,은평구,1138010700,서울특별시 은평구 응암동 229-13,198,126.923077,37.594588,193206.647181,555005.017097
170,376,연은초등학교 본관동,은평구,1138010700,서울특별시 은평구 응암동 242-424,477,126.925198,37.590445,193393.552121,554545.011461
171,15,응암초등학교 본관동,은평구,1138010700,서울특별시 은평구 응암동 산7-40,621,126.921763,37.588406,193090.007484,554319.013587
535,240,나인브릭,마포구,1144012000,서울특별시 마포구 서교동 354-10,3784,126.920575,37.553819,192981.87708,550480.363428
536,245,호텔써클,마포구,1144012200,서울특별시 마포구 합정동 382-17,2017,126.910746,37.548873,192112.805507,549932.204724
537,244,호텔 서강스테이,마포구,1144011000,서울특별시 마포구 노고산동 106-41,688,126.935806,37.553473,194327.697094,550440.865764
550,215,서교동주민센터,마포구,1144012000,서울특별시 마포구 서교동 478-5,537,126.914598,37.555587,192453.891128,550677.021245
551,222,합정동주민센터,마포구,1144012200,서울특별시 마포구 합정동 473-0,176,129.912131,37.551596,457357.935805,554218.730526
552,237,성산중학교,마포구,1144012200,서울특별시 마포구 합정동 365-1,928,126.915644,37.546741,192545.391312,549695.180982
553,90,성산초등학교,마포구,1144012200,서울특별시 마포구 합정동 427-2,803,126.911083,37.553334,192143.045791,550427.279705
554,195,마포구민체육센터,마포구,1144012300,서울특별시 마포구 망원동 450-3,1490,126.896636,37.556386,190866.868407,550767.29436
555,196,마포구민체육센터,마포구,1144012300,서울특별시 마포구 망원동 450-3,405,126.896636,37.556386,190866.868407,550767.29436
556,217,망원2동주민센터,마포구,1144012300,서울특별시 마포구 망원동 436-14,651,126.902352,37.560241,191372.372627,551194.613756
