시설번호,시설일련번호,수용시설명,시군구명,법정동코드,상세주소,시설면적,경도,위도,X좌표,Y좌표
185,84,서울지방조달청 테니스장,서초구,1165010700,서울특별시 서초구 반포대로 217(반포동),1184.0,127.002453,37.499301,200216.866479,544426.499516
186,139,사우촌어린이공원,관악구,1162010200,서울특별시 관악구 신림동 1555-1,339.0,126.934174,37.467563,194176.763167,540906.066688
187,140,태양어린이공원,관악구,1162010200,서울특별시 관악구 신림동 1542-1,345.0,126.936486,37.468497,194381.366853,541009.650336
188,136,무궁화어린이공원,관악구,1162010200,서울특별시 관악구 신림동 645-1,660.0,126.923566,37.469681,193238.518946,541141.865737
189,83,누에소공원,서초구,1165010600,서울특별시 서초구 잠원동 160-3,1720.0,127.008449,37.50923,200746.991565,545528.612005
190,105,가락초등학교,송파구,1171010700,서울특별시 송파구 송파대로37길 45(가락동),2303.0,127.107791,37.499908,209531.476409,544499.390375
191,132,신라어린이공원,관악구,1162010200,서울특별시 관악구 신림동 744-1,514.0,126.912582,37.473606,192267.296747,541578.378582
192,134,한라어린이공원,관악구,1162010200,서울특별시 관악구 신림동 750-39,479.0,126.914744,37.475677,192458.763123,541808.059208
193,73,아름어린이공원,성북구,1129013400,서울특별시 성북구 길음동 1287-3,3735.0,127.015968,37.607553,201409.920394,556441.372807
194,82,잠원흥동소공원,서초구,1165010600,서울특별시 서초구 잠원동 162-1,2000.0,127.000426,37.507746,200037.661296,545363.800293
195,81,새싹어린이공원,서초구,1165010800,서울특별시 서초구 서초동 1686-10,840.0,127.018272,37.497541,201615.726004,544231.412503
196,55,훈련원공원,중구,1114015100,서울특별시 중구 을지로 227(을지로5가),13685.0,127.003892,37.56737,200343.874386,551981.32933
197,75,국립 서울농학교 운동장,종로구,1111010200,서울특별시 종로구 필운대로 103(신교동),500.0,126.968651,37.584888,197231.075783,553926.130724
198,119,은천어린이공원,관악구,1162010100,서울특별시 관악구 봉천동 635-309,443.0,126.94302,37.488301,194960.699179,543207.2684
