인명피해우려지역관리번호,지구명,피해우려지역유형코드,피해우려지역지구유형코드,지구지정사유코드,지정일자,해제일자,법정동코드,주지번,예상피해세대수,예상피해인원수,예상피해건물수,경도,위도,X좌표,Y좌표,신구구분코드,최종수정일시
9999999999,금곡지구,1.0,2.0,17,20250426,20250531,4874041021.0,301.0,13.0,27.0,13.0,,,,,0,2025/11/01 14:47
9999999999,오정동 317~1번지~331-1번지,1.0,6.0,6,20250107,20250819,3023010100.0,317.0,,,,,,,,0,2025/11/01 15:45
9999999999,괴정지구,1.0,18.0,6,20250207,20250822,4311425335.0,743.0,,,,,,,,0,2025/11/01 13:19
9999999999,석현제,1.0,10.0,5,20250902,20250913,4615010800.0,590.0,10.0,30.0,,127.4687596,34.9767845,997148.4581,1664653.988,0,2025/11/01 13:26
9999999999,유룡제,1.0,10.0,5,20250823,20251014,4615031037.0,839.0,4.0,4.0,,127.5315443,34.8467982,1002883.824,1650239.212,0,2025/11/01 13:25
9999999999,평촌지구,1.0,2.0,2,20250210,20250605,4715045025.0,374.0,,,,,,,,0,2025/11/01 15:07
9999999999,지방도 901,1.0,1.0,1,20250712,20250906,4715041029.0,111.0,,,,,,,,0,2025/11/01 15:11
9999999999,황금1지구,1.0,2.0,2,20250113,20250511,4715010700.0,234.0,,,,,,,,0,2025/11/01 15:22
9999999999,황금3지구,1.0,2.0,2,20250303,20250514,4715010700.0,161.0,,,,,,,,0,2025/11/01 15:24
9999999999,밤실지구,1.0,18.0,18,20250404,20251027,4773045035.0,700.0,,,,,,,,0,2025/11/01 15:51
9999999999,상가지구,1.0,1.0,1,20250917,20251007,4682031029.0,3.0,,,,,,,,0,2025/11/01 13:18
9999999999,평활지구,1.0,1.0,1,20250805,20251008,4682031028.0,99.0,,,,,,,,0,2025/11/01 13:20
9999999999,상평지구,1.0,18.0,6,20250831,20250924,4311425333.0,281.0,,,,,,,,0,2025/11/01 13:21
9999999999,원리지구,1.0,18.0,7,20250424,20250828,4311425327.0,238.0,,,,,,,,0,2025/11/01 13:26
9999999999,양지지구,1.0,18.0,6,20251022,20251031,4311425329.0,17.0,,,,,,,,0,2025/11/01 13:17
9999999999,언더패스(침수우려),1.0,18.0,6,20250105,20250222,3020011100.0,699.0,,,,,,,,0,2025/11/01 13:52
9999999999,호죽지구,1.0,18.0,10,20250312,20251018,4311332032.0,637.0,,,10.0,,,,,0,2025/11/01 13:05
N999999999,쌍미지구,,,2,20250329,20250603,,134.0,,,,,,,,1,2025/11/01 14:52
9999999999,다락금 솔밭 공원,1.0,18.0,18,20250216,20250319,4678033025.0,31.0,,,,127.1540129,34.826077,968361.3809,1647995.481,0,2025/11/01 10:12
N999999999,연산5동주민센터인근,,,6,20251009,20251014,2647010200.0,1290.0,,,,,,,,1,2025/11/01 14:56
N999999999,포스코더샵파크시티 인근 ,,,6,20250513,20250803,2647010200.0,302.0,,,,,,,,1,2025/11/01 14:58
