HULI_DAM_CNCR_RGN_MNG_NO,RGN_CD,SN,DAM_CNCR_RGN_TYPE_CD,DAM_CNCR_RGN_DSTRCT_TYPE_CD,DSTRCT_NM,DSTRCT_DSGN_RSN_CD,DSGN_YMD,RMV_YMD,DSTRCT_DSGN_RSN_DTL_CN,GRDNT,DONG_CD,STDG_CD,MTN_ADDR_YN,MNLNO,SUBLOTNO,DADDR,RONA_DADDR,ROAD_NM_ADDR_CD,EXPC_DAM_NOHO,EXPC_DAM_NOPE,EXPC_DAM_BLDG_CNT,EXPC_DAM_AREA,ETC_DAM_CN,SHNT_TRGT_HSHD_CNT,SHNT_TRGT_NOPE,SHNT_PLC_NM,ACTC_TNOP,HYTM_NM,HYTM_CD,ACML_RNFL,MAX_HR_RNFL,MAX_CNTY_RNFL,GD_STF_CR_TYPE_CD_1,GD_STF_CR_TYPE_CD_2,XCRD,YCRD,LAST_MDFCN_DT,DEL_YN,DSGN_TYPE,DST_TYPE,DMG_TYPE,RMRK,SSON_SE_CD,NAOL_SE_CD,DSGN_RSN_CLSF_CD,DSTRCT_DSGN_RSN_DTL_CLSF_CN,FRST_REG_DT,DSTRCT_RSN_DTL_CLSF_CD,INST_NM_1,DEPT_NM_1,JBGD_NM_1,JBTTL_NM_1,LOT,LAT
인명피해우려지역관리번호,지역코드,일련번호,피해우려지역유형코드,피해우려지역지구유형코드,지구명,지구지정사유코드,지정일자,해제일자,지구지정사유상세내용,경사도,행정동코드,법정동코드,산주소여부,주지번,부지번,상세주소,도로명상세주소,도로명주소코드,예상피해세대수,예상피해인원수,예상피해건물수,예상피해면적,기타피해내용,대피대상가구수,대피대상인원수,대피장소명,수용인원,우량계명,우량계코드,누적강우량,최대시간강우량,최대연속강우량,안내요원직업유형코드1,안내요원직업유형코드2,X좌표,Y좌표,최종수정일시,삭제여부,지정유형,재해유형,피해유형,비고,계절구분코드,신구구분코드,지정사유분류코드,지구지정사유상세분류내용,최초등록일시,지구사유상세분류코드,기관명1,부서명1,직급명1,직책명1,경도,위도
9999999999,4874000000,26590,001,002,금곡지구,017,20250426,20250531,"공사장절개지붕괴(유실,매몰)",,4874041000,4874041021,N,301,0,,,4874041021103010000064907,13,27,13,0,,,,,,길곡면,,200,30,200,,,,,2025/11/01 14:47:23,,,,,,,00,,,2017/05/18 14:47:23,,,,,,,
9999999999,3023000000,43710054,001,006,오정동 317~1번지~331-1번지,006,20250107,20250819,노면침수,,3023051000,3023010100,N,317,1,,,,,,,,,,,,,대덕구청,,,,,,,,,2025/11/01 15:45:13,,,,,,,00,,,2018/04/15 15:45:13,,,,,,,
9999999999,4311000000,26662,001,018,괴정지구,006,20250207,20250822,폭 부족 및 급축소,,4311425335,4311425335,N,743,14,,,,,,,,,,,,,청주시,4311154500,,,,,,,,2025/11/01 13:19:23,,,,,,,00,,,2018/04/16 13:19:23,,,,,,,
9999999999,4615000000,23299,001,010,석현제,005,20250902,20250913,저수지 하류에 주택(마을)이 형성되어 저수지붕괴시 인명피해 우려,,4615055000,4615010800,N,590,2,,,4615010800105900002067013,10,30,,,,,,,,순천시청,4615061000,70,180,180,,,997148.45814,1664653.988166,2025/11/01 13:26:44,,,,,,,00,,,2017/05/17 14:41:27,,,,,,127.4687596,34.9767845
9999999999,4615000000,23303,001,010,유룡제,005,20250823,20251014,"저수지 하류에 주택(마을)이 형성되어 저수지 붕괴 시 인명피해가 우려
",,4615031000,4615031037,N,839,3,,,4615031037106190003074225,4,4,,,,,,,,순천시청,4615061000,180,180,180,,,1002883.824498,1650239.211934,2025/11/01 13:25:05,,,,,,,00,,,2017/05/17 14:56:13,,,,,,127.5315443,34.8467982
9999999999,4715000000,25574,001,002,평촌지구,002,20250210,20250605,주택매몰위험,,4715045000,4715045025,N,374,3,,,4715045025103740003037800,,,,,,,,,,증산,,,,,,,,,2025/11/01 15:07:01,,,,,,,00,,,2017/05/17 15:07:01,,,,,,,
9999999999,4715000000,25576,001,001,지방도 901,001,20250712,20250906,낙석 및 매몰,,4715041000,4715041029,Y,111,3,,,4715041029201110003025535,,,,,,,,,,구성,,,,,,,,,2025/11/01 15:11:55,,,,,,,00,,,2017/05/17 15:11:55,,,,,,,
9999999999,4715000000,25579,001,002,황금1지구,002,20250113,20250511,매몰위험,,,4715010700,N,234,,,,,,,,,,,,,,시청,,,,,,,,,2025/11/01 15:22:06,,,,,,,00,,,2017/05/17 15:22:06,,,,,,,
9999999999,4715000000,25580,001,002,황금3지구,002,20250303,20250514,매몰위험,,4715056500,4715010700,N,161,7,,,4715010700101610007025299,,,,,,,,,,시청,,,,,,,,,2025/11/01 15:24:09,,,,,,,00,,,2017/05/17 15:24:09,,,,,,,
9999999999,4773000000,25705,001,018,밤실지구,018,20250404,20251027,침수피해,,4773045000,4773045035,N,700,1,,,4773045035107000003023392,,,,,,,,,,신평면,4483038000,,,,,,,,2025/11/01 15:51:12,,,,,,,00,,,2017/05/17 15:51:12,,,,,,,
9999999999,4682000000,25373,001,001,상가지구,001,20250917,20251007,임야 인근에 농경지가 위치 하고있어 토사유실 우려,,,4682031029,Y,3,,,,,,,,,,,,,,무,,,,,,,,,2025/11/01 13:18:12,,,,,,,00,,,2017/05/18 13:18:12,,,,,,,
9999999999,4682000000,25374,001,001,평활지구,001,20250805,20251008,집중호우시 계류에 유속이 빠르며 농경지에 토석 및 침수우려,,,4682031028,Y,99,,,,,,,,,,,,,,무,,,,,,,,,2025/11/01 13:20:29,,,,,,,00,,,2017/05/18 13:20:29,,,,,,,
